TreeNo,X,Y,TreeName,DBH_2017,Height_2017,BA_2017,Volume_2017,Quadrant_2017
480,419240.59,5851598.87,Common pine,43.9,29.8,0.151,2.043,3
481,419243.86,5851597.19,Copper beech,11.2,15.4,0.01,0.068,3
482,419248.9,5851598.24,Common pine,23.8,27.5,0.044,0.532,3
483,419248.79,5851599.32,Copper beech,18,19.4,0.025,0.231,3
484,419251.03,5851599.62,Copper beech,11.1,15.3,0.01,0.067,3
485,419252.69,5851600.36,Copper beech,21.2,20.6,0.035,0.351,3
486,419254.39,5851603.11,Copper beech,12,16,0.011,0.082,3
487,419257.04,5851599.78,Common pine,33.2,28.9,0.087,1.135,3
488,419257.63,5851600.41,Copper beech,10.4,14.7,0.008,0.055,3
489,419259.83,5851603.04,Common pine,43.2,29.8,0.147,1.986,3
490,419264.95,5851602.01,Common pine,33.1,28.9,0.086,1.129,3
491,419265.93,5851603.58,Common pine,38.2,29.4,0.115,1.517,3
492,419266.62,5851601.8,Copper beech,11.6,15.7,0.011,0.075,3
493,419269.4,5851603.03,Copper beech,22.3,21,0.039,0.397,3
494,419270.86,5851606.1,Copper beech,14.6,17.7,0.017,0.14,3
495,419270.04,5851604.95,Common pine,35.2,29.1,0.097,1.27,3
496,419260.88,5851605.21,Copper beech,14.8,17.9,0.017,0.144,3
497,419274.37,5851604.8,Copper beech,18.7,19.7,0.027,0.257,3
498,419270.61,5851599.29,Common pine,43.5,29.8,0.149,2.011,3
499,419276.06,5851601.92,Common pine,31.1,28.7,0.076,0.983,3
500,419280.95,5851600.39,Common pine,32.2,28.8,0.081,1.061,3
501,419279.39,5851606.73,Copper beech,16.2,18.6,0.021,0.183,3
502,419280.31,5851606.91,Copper beech,12.4,16.3,0.012,0.09,3
503,419281.29,5851609.01,Common pine,30.7,28.6,0.074,0.945,3
504,419283.01,5851608.36,Common pine,31.6,28.8,0.078,1.01,3
505,419284.02,5851605.24,Common pine,43.2,29.8,0.147,1.986,3
506,419285.32,5851610.97,Copper beech,9.9,14.2,0.008,0.042,3
507,419285.53,5851610.14,Copper beech,16.2,18.6,0.021,0.183,3
508,419287.25,5851609.41,Copper beech,15.8,18.4,0.02,0.168,3
509,419290.05,5851610.07,Copper beech,10.9,15.1,0.009,0.059,3
510,419290.61,5851603.94,Common pine,32.3,28.8,0.082,1.066,3
511,419290.78,5851603.06,Copper beech,16,18.5,0.02,0.173,3
512,419292.14,5851601.06,Copper beech,7,10.7,0.004,0.006,3
513,419293.35,5851599.38,Common pine,42.1,29.7,0.139,1.881,3
514,419293.96,5851598.66,Copper beech,14.4,17.6,0.016,0.135,3
515,419291.07,5851597.65,Copper beech,17.4,19.2,0.024,0.214,3
516,419286.77,5851600.45,Copper beech,14.9,17.9,0.017,0.146,3
517,419282.91,5851601.02,Common pine,40.6,29.6,0.129,1.727,3
518,419280.46,5851598.57,Copper beech,8.4,12.5,0.006,0.023,3
519,419286.05,5851599,Copper beech,16.5,18.8,0.021,0.191,3
520,419286.82,5851595.79,Common pine,39.2,29.5,0.121,1.606,3
521,419280.3,5851596.3,Common pine,41.9,29.7,0.138,1.846,3
522,419278.3,5851598.18,Common pine,31.1,28.7,0.076,0.983,3
523,419277.14,5851595.63,Copper beech,20.5,20.4,0.033,0.32,3
524,419275.61,5851594.36,Common pine,31.2,28.7,0.076,0.989,3
525,419273.56,5851590.13,Copper beech,23.2,21.2,0.042,0.43,3
526,419270.54,5851597.61,Copper beech,19.3,20,0.029,0.282,3
527,419273.59,5851597.59,Common pine,30.8,28.7,0.075,0.95,3
528,419271.24,5851594.1,Copper beech,10.3,14.6,0.008,0.054,3
529,419269.84,5851594.94,Common pine,41.8,29.7,0.137,1.838,3
530,419268.89,5851592.69,Copper beech,14.9,17.9,0.017,0.146,3
531,419264.91,5851593.67,Copper beech,14.9,17.9,0.017,0.146,3
532,419260.49,5851593.66,Copper beech,13.9,17.3,0.015,0.119,3
533,419264.44,5851592.84,Common pine,37.8,29.4,0.112,1.472,3
534,419262,5851597.58,Copper beech,14.4,17.6,0.016,0.135,3
535,419260.12,5851597.1,Copper beech,16.9,18.9,0.022,0.2,3
536,419260.95,5851591.57,Common pine,23.2,27.4,0.042,0.51,3
537,419259.52,5851591.67,Copper beech,10.7,14.9,0.009,0.06,3
538,419255.85,5851589.7,Common pine,40,29.6,0.126,1.658,3
539,419253.82,5851594.96,Copper beech,14.2,17.5,0.016,0.131,3
540,419252.7,5851589.75,Common pine,37.7,29.4,0.112,1.465,3
541,419254.38,5851587.63,Copper beech,10.4,14.7,0.008,0.055,3
542,419252.5,5851586.86,Copper beech,18.7,19.7,0.027,0.257,3
543,419249.01,5851590.44,Common pine,30.8,28.7,0.075,0.95,3
544,419248.86,5851593.32,Copper beech,16.1,18.6,0.02,0.181,3
545,419246.83,5851587.51,Copper beech,18.6,19.7,0.027,0.254,3
546,419240.96,5851585.98,Copper beech,11.9,15.9,0.011,0.08,3
547,419250.55,5851578.97,Copper beech,19.1,19.9,0.029,0.276,3
548,419250.06,5851575.69,Common spruce,16.5,17.2,0.021,0.19,3
549,419252.86,5851578.46,Copper beech,13.9,17.3,0.015,0.119,3
550,419253.76,5851582,Common pine,33.9,29,0.09,1.156,3
551,419250.5,5851578.33,Common pine,37.5,29.4,0.11,1.452,3
552,419260.8,5851577.12,Copper beech,14.4,17.6,0.016,0.135,3
553,419260.02,5851577.97,Copper beech,14.1,17.5,0.016,0.129,3
554,419264.4,5851578.97,Common pine,31.7,28.8,0.079,1.015,3
555,419260.21,5851581.07,Copper beech,15.1,18,0.018,0.151,3
556,419261.91,5851583.41,Common pine,41.5,29.7,0.135,1.815,3
557,419262.86,5851584.33,Copper beech,17,19,0.023,0.197,3
558,419265.6,5851584.28,Copper beech,11.8,15.9,0.011,0.079,3
559,419267.22,5851580.3,Copper beech,17.1,19,0.023,0.206,3
560,419269.58,5851582.04,Copper beech,8.4,12.5,0.006,0.023,3
561,419260.96,5851583.26,Common pine,46.5,30,0.17,2.312,3
562,419270.05,5851584.09,Copper beech,11.2,15.4,0.01,0.068,3
563,419270.52,5851584.17,Copper beech,8.2,12.3,0.005,0.02,3
564,419273.63,5851582.31,Copper beech,8,12,0.005,0.017,3
565,419273.17,5851583.71,Copper beech,18.7,19.7,0.027,0.257,3
566,419277.54,5851585.02,Copper beech,20.3,20.3,0.032,0.313,3
567,419278.74,5851588.5,Copper beech,8.3,12.4,0.005,0.022,3
568,419278.59,5851588.98,Common pine,38.5,29.4,0.116,1.538,3
569,419281.54,5851586.53,Copper beech,14.6,17.7,0.017,0.14,3
570,419282.77,5851580.48,Common pine,35,29.1,0.096,1.253,3
571,419284.23,5851587.57,Copper beech,12.2,16.2,0.012,0.086,3
572,419283.98,5851590.71,Common pine,43.8,29.8,0.151,2.035,3
573,419290.26,5851587.4,Common pine,40.8,29.6,0.131,1.741,3
574,419291.43,5851587.06,Copper beech,10.8,15,0.009,0.057,3
575,419292.66,5851588.32,Common pine,40.5,29.6,0.129,1.72,3
577,419291.98,5851591.35,Copper beech,14.6,17.7,0.017,0.14,3
578,419290.42,5851589.17,Copper beech,7.3,11.1,0.004,0.008,3
580,419296.85,5851586.39,Copper beech,21.9,20.8,0.038,0.375,3
581,419298.28,5851580.13,Common pine,41.7,29.7,0.137,1.831,3
582,419291.3,5851577.99,Common pine,26.4,28,0.055,0.671,3
583,419287.84,5851584.17,Copper beech,24.6,21.6,0.048,0.492,3
584,419288.02,5851570.93,Copper beech,19.3,20,0.029,0.282,3
585,419287.61,5851578.9,Sessile oak,14,17.4,0.015,0.124,3
586,419287.94,5851577,Common pine,34.9,29.1,0.096,1.234,3
587,419285.99,5851580.49,Common pine,35.8,29.2,0.101,1.307,3
589,419284.75,5851578,Copper beech,20.4,20.3,0.033,0.316,3
590,419283.78,5851578.48,Common pine,28.2,28.3,0.062,0.785,3
591,419282.64,5851575.72,Common pine,34,29,0.091,1.179,3
592,419282.44,5851577.32,Copper beech,14.3,17.6,0.016,0.133,3
593,419281.66,5851578.6,Copper beech,15.1,18,0.018,0.151,3
594,419279.77,5851580.27,Common pine,31.3,28.7,0.077,0.994,3
595,419280.06,5851580.46,Copper beech,10.5,14.7,0.009,0.057,3
596,419277.42,5851580.45,Common pine,34.8,29.1,0.095,1.228,3
597,419278.53,5851578.63,Copper beech,9.3,13.6,0.007,0.037,3
598,419278.89,5851575.52,Common pine,39.3,29.5,0.121,1.613,3
599,419276.43,5851576.15,Copper beech,12.4,16.3,0.012,0.09,3
600,419275.41,5851577.07,Common pine,30.7,28.6,0.074,0.945,3
601,419274.86,5851577.61,Copper beech,13.5,17.1,0.014,0.111,3
602,419273.22,5851578.22,Copper beech,8,12,0.005,0.017,3
603,419271.66,5851576.35,Copper beech,9.4,13.7,0.007,0.039,3
604,419271.42,5851578.34,Common pine,33.9,29,0.09,1.156,3
605,419268.75,5851577.47,Common pine,39.2,29.5,0.121,1.606,3
606,419267.27,5851574.64,Copper beech,14.3,17.6,0.016,0.133,3
607,419267.82,5851578.06,Copper beech,15.4,18.2,0.019,0.158,3
608,419264.75,5851575.22,Common pine,62.4,30.7,0.306,4.32,3
609,419264.82,5851573.77,Copper beech,10.4,14.7,0.008,0.055,3
610,419261.96,5851570.89,Common pine,35.4,29.2,0.098,1.283,3
611,419260.87,5851573.65,Sessile oak,12.9,16.7,0.013,0.098,3
612,419260.73,5851573.86,Copper beech,15.4,18.2,0.019,0.158,3
613,419256.3,5851574.67,Common pine,29.2,28.4,0.067,0.851,3
614,419254.68,5851573.57,Copper beech,17.3,19.1,0.024,0.211,3
615,419251.14,5851573.75,Copper beech,13.4,17,0.014,0.109,3
616,419257.16,5851568.47,Copper beech,26.9,22.1,0.057,0.598,3
617,419259.95,5851567.71,Common pine,36.5,29.3,0.105,1.369,3
618,419269.67,5851572.4,Common pine,32.8,28.9,0.084,1.094,3
619,419274.23,5851573.48,Copper beech,18.2,19.5,0.026,0.243,3
620,419273.92,5851572.7,Copper beech,9.7,14,0.007,0.044,3
621,419274.26,5851573.13,Copper beech,8,12,0.005,0.017,3
622,419255.53,5851563.03,Common pine,33.9,29,0.09,1.156,3
623,419250.45,5851500.63,Copper beech,7.1,10.8,0.004,0.01,3
624,419255.64,5851559.41,Common pine,36,29.2,0.102,1.329,3
625,419259.53,5851558.33,Copper beech,13.7,17.2,0.015,0.115,3
626,419261.88,5851556.33,Copper beech,23.5,21.3,0.043,0.441,3
627,419264.19,5851556.57,Common pine,33.3,28.9,0.087,1.141,3
628,419265.8,5851555.94,Copper beech,22.1,20.9,0.038,0.39,3
629,419264.2,5851560.7,Common pine,35.4,29.2,0.098,1.283,3
630,419262.83,5851562.76,Copper beech,14.8,17.9,0.017,0.144,3
631,419261.36,5851563.56,Copper beech,16.5,18.8,0.021,0.191,3
632,419260.71,5851564.83,Copper beech,9.1,13.3,0.007,0.034,3
633,419266.15,5851560.61,Copper beech,14.9,17.9,0.017,0.146,3
634,419267.59,5851560.92,Copper beech,15.4,18.2,0.019,0.158,3
635,419267.91,5851562.46,Copper beech,7.1,10.8,0.004,0.01,3
636,419270.14,5851559.77,Common pine,29.9,28.5,0.07,0.885,3
637,419270.47,5851559.91,Sessile oak,8.4,12.5,0.006,0.023,3
638,419270.51,5851560.86,Sessile oak,16.7,18.9,0.022,0.202,3
639,419269.41,5851562.41,Common pine,28.6,28.4,0.064,0.803,3
640,419268.45,5851562.68,Sessile oak,13.6,17.1,0.015,0.113,3
641,419270.41,5851566.97,Common pine,39,29.5,0.119,1.571,3
642,419270.35,5851567.4,Copper beech,19.4,20,0.03,0.285,3
643,419274.71,5851563.56,Copper beech,19.3,20,0.029,0.282,3
644,419274.99,5851559.58,Common pine,28.5,28.3,0.064,0.799,3
646,419276.79,5851565.44,Copper beech,13,16.7,0.013,0.1,3
647,419277.57,5851567.77,Common pine,32.6,28.9,0.083,1.083,3
648,419279.35,5851562.4,Common pine,33.5,29,0.088,1.152,3
649,419280.08,5851561.57,Copper beech,17.2,19.1,0.023,0.208,3
650,419281.75,5851562.97,Sessile oak,8.1,12.2,0.005,0.021,3
652,419280.43,5851567.29,Common pine,33.8,29,0.09,1.151,3
653,419280.95,5851568.33,Copper beech,7.1,10.8,0.004,0.01,3
654,419281.96,5851568.86,Copper beech,22.7,21.1,0.04,0.404,3
655,419282.94,5851565.91,Copper beech,12.2,16.2,0.012,0.086,3
656,419285.82,5851562.25,Copper beech,7.8,11.8,0.005,0.015,3
657,419286.46,5851562.9,Sessile oak,9.6,13.9,0.007,0.043,3
658,419286,5851566.46,Copper beech,15.9,18.5,0.02,0.17,3
659,419284.67,5851567.7,Sessile oak,13.8,17.3,0.015,0.117,3
660,419287.24,5851572.76,Common pine,32.7,28.9,0.084,1.088,3
661,419292.48,5851563.38,Copper beech,25.5,21.8,0.051,0.538,3
662,419293.35,5851568.82,Sessile oak,11.8,15.9,0.011,0.079,3
663,419293.84,5851568.78,Common pine,38.8,29.5,0.118,1.558,3
664,419294.36,5851567.92,Common spruce,7.7,7.5,0.005,0.01,3
665,419295.46,5851575.48,Sessile oak,12.1,16.1,0.011,0.084,3
666,419295.97,5851574.67,Sessile oak,13.9,17.3,0.015,0.12,3
667,419295.97,5851574.48,Common pine,28,28.3,0.062,0.767,3
668,419298.44,5851571.9,Common pine,30.9,28.7,0.075,0.955,3
669,419299.69,5851567.25,Sessile oak,14.6,17.7,0.017,0.142,3
670,419303.18,5851567.42,Copper beech,16.8,18.9,0.022,0.198,3
671,419303.66,5851570.13,Copper beech,8.4,12.5,0.006,0.023,3
672,419302.29,5851571.73,Sessile oak,7.6,11.5,0.005,0.017,3
673,419301.88,5851573.25,Common pine,39.1,29.5,0.12,1.598,3
674,419292.35,5851607.13,Sessile oak,15.1,18,0.018,0.154,4
675,419292.02,5851611.39,Copper beech,13.1,16.8,0.013,0.108,4
676,419294.38,5851607.76,Common pine,41.2,29.6,0.133,1.793,4
677,419293.4,5851615.31,Common pine,45.1,29.9,0.16,2.176,4
678,419292.95,5851614.56,Copper beech,15.7,18.4,0.019,0.165,4
679,419297.97,5851607.85,Sessile oak,12,16,0.011,0.082,4
680,419298.98,5851608.79,Copper beech,13.4,17,0.014,0.109,4
681,419299.05,5851609.24,Copper beech,17.9,19.4,0.025,0.228,4
682,419299.63,5851610.67,Common pine,36.8,29.3,0.106,1.388,4
683,419300.08,5851614.26,Copper beech,16.4,18.7,0.021,0.188,4
684,419302.55,5851610.69,Common pine,37.7,29.4,0.112,1.465,4
685,419303.39,5851610.46,Copper beech,12.1,16.1,0.011,0.084,4
686,419303.53,5851616.21,Common pine,35.6,29.2,0.1,1.295,4
687,419303.71,5851615.26,Copper beech,16.3,18.7,0.021,0.186,4
688,419305.83,5851613.02,Common pine,49,30.1,0.189,2.563,4
689,419305.71,5851613.36,Copper beech,13.4,17,0.014,0.109,4
690,419308.04,5851614.3,Copper beech,11.6,15.7,0.011,0.075,4
692,419309.55,5851617.25,Copper beech,10.6,14.8,0.009,0.059,4
693,419312.98,5851613.52,Copper beech,15.8,18.4,0.02,0.168,4
694,419312.77,5851615.88,Copper beech,12.8,16.6,0.013,0.097,4
695,419315.9,5851614.56,Copper beech,18.4,19.6,0.027,0.248,4
696,419316.06,5851616.94,Copper beech,11,15.2,0.01,0.063,4
697,419313.66,5851619.11,Common pine,44.2,29.9,0.153,2.084,4
698,419315.31,5851619.14,Copper beech,8.6,12.8,0.006,0.026,4
699,419317.85,5851610.72,Copper beech,14.2,17.5,0.016,0.131,4
700,419318.66,5851617.07,Common pine,31.1,28.7,0.076,0.983,4
701,419320.81,5851618.31,Copper beech,15.7,18.4,0.019,0.165,4
702,419322.24,5851610.98,Common pine,30.7,28.6,0.074,0.945,4
703,419323.65,5851616.79,Copper beech,8.6,12.8,0.006,0.026,4
704,419326.8,5851610.8,Copper beech,13.3,16.9,0.014,0.112,4
705,419325.67,5851620.6,Common pine,46.5,30,0.17,2.312,4
706,419328.83,5851620.67,Copper beech,18.2,19.5,0.026,0.243,4
707,419327.58,5851620.33,Copper beech,9,13.2,0.006,0.03,4
708,419329.85,5851624.56,Copper beech,12.1,16.1,0.011,0.084,4
709,419332.02,5851619.56,Copper beech,12.7,16.5,0.013,0.095,4
710,419333.08,5851619.93,Copper beech,13.7,17.2,0.015,0.115,4
711,419333.59,5851610.94,Common pine,41.1,29.6,0.133,1.785,4
712,419331.94,5851623.39,Common pine,30,28.6,0.071,0.891,4
713,419333.31,5851622.96,Copper beech,15.2,18.1,0.018,0.153,4
714,419336.58,5851627.36,Common pine,28.1,28.3,0.062,0.78,4
715,419339.12,5851622.16,Copper beech,18.4,19.6,0.027,0.248,4
716,419339.86,5851616.95,Copper beech,14.5,17.7,0.017,0.138,4
717,419337.13,5851615.22,Common pine,35.6,29.2,0.1,1.295,4
718,419334.3,5851615.6,Copper beech,15.6,18.3,0.019,0.163,4
719,419332.69,5851615.17,Copper beech,12.4,16.3,0.012,0.09,4
720,419331.23,5851614.4,Copper beech,22.2,20.9,0.039,0.393,4
721,419331.69,5851612.8,Common pine,39.5,29.5,0.123,1.627,4
722,419329.61,5851613.93,Copper beech,7.4,11.3,0.004,0.01,4
723,419327.66,5851615.87,Copper beech,14.2,17.5,0.016,0.131,4
724,419325.14,5851615.75,Common pine,47.8,30.1,0.179,2.425,4
725,419324.25,5851614.56,Copper beech,9.9,14.2,0.008,0.042,4
726,419324.64,5851612.74,Copper beech,14.9,17.9,0.017,0.146,4
727,419325.6,5851612.66,Copper beech,20.3,20.3,0.032,0.313,4
728,419326.68,5851610.33,Copper beech,7.9,11.9,0.005,0.016,4
729,419319.4,5851613.68,Common pine,41.1,29.6,0.133,1.785,4
730,419320.4,5851610.13,Copper beech,15.8,18.4,0.02,0.168,4
731,419320.24,5851608.34,Copper beech,21.4,20.7,0.036,0.358,4
732,419319.95,5851610.79,Copper beech,8.2,12.3,0.005,0.02,4
733,419318.87,5851610.55,Copper beech,7.2,11,0.004,0.011,4
734,419318.81,5851610.26,Copper beech,8,12,0.005,0.017,4
735,419317.7,5851610.58,Common pine,36.9,29.3,0.107,1.395,4
736,419314.31,5851611.93,Common pine,31.8,28.8,0.079,1.02,4
737,419313.53,5851610.86,Copper beech,8.3,12.4,0.005,0.022,4
738,419312.62,5851610.3,Copper beech,15.5,18.2,0.019,0.161,4
739,419310.02,5851609.57,Copper beech,17.3,19.1,0.024,0.211,4
740,419307.73,5851608.2,Common pine,34.7,29.1,0.095,1.222,4
741,419308.4,5851604.73,Common pine,32.9,28.9,0.085,1.099,4
742,419304.42,5851605.4,Copper beech,19.1,19.9,0.029,0.276,4
743,419302.21,5851601.69,Copper beech,27.1,22.2,0.058,0.615,4
744,419299.41,5851600.71,Copper beech,11.3,15.4,0.01,0.07,4
745,419299.19,5851600.27,Common pine,23.7,27.5,0.044,0.529,4
746,419295.58,5851604.76,Copper beech,17.4,19.2,0.024,0.214,4
747,419295.69,5851602.24,Copper beech,16.7,18.9,0.022,0.196,4
748,419298.59,5851593.74,Copper beech,23.7,21.4,0.044,0.449,4
749,419299.22,5851590.78,Common pine,38.5,29.4,0.116,1.538,4
750,419300.38,5851595.71,Copper beech,14.3,17.6,0.016,0.133,4
751,419304.12,5851596.54,Common pine,36.5,29.3,0.105,1.369,4
752,419305.04,5851595.81,Copper beech,10,14.3,0.008,0.047,4
753,419305.59,5851590.68,Copper beech,12.6,16.5,0.012,0.094,4
754,419309.56,5851592.78,Copper beech,20.6,20.4,0.033,0.323,4
755,419308.47,5851594.69,Copper beech,8,12,0.005,0.017,4
756,419308.84,5851597.51,Copper beech,12.7,16.5,0.013,0.095,4
757,419307.79,5851599.74,Copper beech,19.5,20,0.03,0.255,4
758,419309.47,5851600.39,Copper beech,13,16.7,0.013,0.1,4
759,419311.9,5851590.92,Copper beech,16.5,18.8,0.021,0.191,4
760,419314.43,5851596.7,Copper beech,8.1,12.2,0.005,0.019,4
761,419313.34,5851596.41,Copper beech,20,20.2,0.031,0.289,4
762,419316.09,5851597.92,Common pine,39.5,29.5,0.123,1.627,4
763,419317.89,5851595.42,Copper beech,21,20.6,0.035,0.335,4
764,419318.58,5851597.93,Copper beech,15,18,0.018,0.144,4
765,419320.23,5851597.07,Copper beech,14.5,17.7,0.017,0.138,4
766,419320.65,5851598.24,Common pine,38.3,29.4,0.115,1.524,4
767,419322.12,5851600.06,Copper beech,23.6,21.3,0.044,0.445,4
768,419324.26,5851601.36,Copper beech,14.8,17.9,0.017,0.144,4
769,419325.61,5851599.07,Common pine,32.3,28.8,0.082,1.066,4
770,419324.96,5851604.01,Copper beech,14.5,17.7,0.017,0.138,4
771,419328.15,5851602.78,Copper beech,10.9,15.1,0.009,0.059,4
772,419328.47,5851607.05,Copper beech,11.4,15.5,0.01,0.072,4
773,419331.22,5851607.83,Copper beech,12.5,16.4,0.012,0.092,4
774,419332.97,5851605.49,Common pine,42.4,29.7,0.141,1.905,4
775,419333,5851603.35,Copper beech,19,19.8,0.028,0.261,4
776,419333.63,5851600.69,Copper beech,17.6,19.3,0.024,0.219,4
777,419337.75,5851603.29,Copper beech,15.2,18.1,0.018,0.153,4
778,419336.12,5851606.84,Copper beech,15.4,18.2,0.019,0.158,4
779,419335.16,5851609.42,Copper beech,22.9,21.1,0.041,0.411,4
780,419340.3,5851605.88,Copper beech,15.5,18.2,0.019,0.161,4
781,419341.64,5851608.65,Copper beech,18.1,19.5,0.026,0.24,4
782,419343.33,5851606.73,Copper beech,17.8,19.3,0.025,0.225,4
783,419344.49,5851606.06,Copper beech,19,19.8,0.028,0.261,4
784,419345.29,5851602.37,Copper beech,17.5,19.2,0.024,0.217,4
785,419346.26,5851600.31,Copper beech,14.4,17.6,0.016,0.135,4
786,419340.06,5851601.03,Copper beech,20.7,20.5,0.034,0.326,4
787,419340.51,5851599.97,Common pine,46,30,0.166,2.222,4
788,419339.68,5851597.57,Copper beech,19.4,20,0.03,0.285,4
789,419338.95,5851595.68,Copper beech,10.5,14.7,0.009,0.057,4
790,419340.11,5851600.31,Copper beech,7.3,11.1,0.004,0.008,4
791,419336.9,5851594.83,Copper beech,8.5,12.7,0.006,0.025,4
792,419334.1,5851597.09,Copper beech,23.2,21.2,0.042,0.43,4
793,419332.84,5851596.36,Copper beech,10.8,15,0.009,0.057,4
794,419332.1,5851596.09,Copper beech,15.6,18.3,0.019,0.163,4
795,419329.99,5851597.34,Common pine,33.4,29,0.088,1.146,4
796,419328.52,5851591.99,Copper beech,10.6,14.8,0.009,0.059,4
797,419327.91,5851593.88,Common pine,37.3,29.3,0.109,1.439,4
798,419326.17,5851592.79,Copper beech,7,10.7,0.004,0.006,4
799,419326.46,5851595.53,Copper beech,22.7,21.1,0.04,0.404,4
800,419322.41,5851590.46,Common pine,32.6,28.9,0.083,1.083,4
801,419317.75,5851592.94,Common pine,40.6,29.6,0.129,1.727,4
802,419318.44,5851589.06,Red oak,9.6,13.9,0.007,0.043,4
803,419319.22,5851587.75,Common pine,44.9,29.9,0.158,2.142,4
804,419314.72,5851500.86,Common pine,34,29,0.091,1.179,4
805,419313.63,5851588.84,Common pine,31.1,28.7,0.076,0.983,4
806,419309.08,5851588.06,Sessile oak,9.3,13.6,0.007,0.038,4
807,419307.32,5851588.43,Common pine,40.9,29.6,0.131,1.749,4
808,419306.46,5851588.82,Copper beech,9.7,14,0.007,0.044,4
809,419304.91,5851588.76,Common pine,33.8,29,0.09,1.151,4
810,419307.38,5851584.77,Copper beech,20,20.2,0.031,0.289,4
811,419307.22,5851584.16,Common pine,37.6,29.4,0.111,1.459,4
812,419303.1,5851579.98,Common pine,37.9,29.4,0.113,1.478,4
813,419303.67,5851578.81,Common birch,11.4,15.5,0.01,0.069,4
814,419302.56,5851575.52,Copper beech,19.1,19.9,0.029,0.276,4
815,419303.6,5851574.2,Common birch,12.3,16.2,0.012,0.085,4
816,419306.62,5851577.14,Copper beech,14.6,17.7,0.017,0.14,4
817,419306.56,5851580,Copper beech,10.4,14.7,0.008,0.055,4
818,419309.44,5851581.14,Copper beech,21.4,20.7,0.036,0.358,4
819,419310.03,5851580.85,Common pine,35.4,29.2,0.098,1.283,4
820,419314.49,5851570.82,Common pine,39,29.5,0.119,1.571,4
821,419314.54,5851580.5,Copper beech,11.2,15.4,0.01,0.068,4
822,419314.77,5851583.12,Copper beech,13.1,16.8,0.013,0.108,4
823,419315.14,5851582.58,Common pine,32,28.8,0.08,1.022,4
824,419316.54,5851578.25,Copper beech,22.3,21,0.039,0.397,4
825,419316.56,5851582.28,Copper beech,8.7,12.9,0.006,0.027,4
826,419318.57,5851581.69,Copper beech,16.4,18.7,0.021,0.188,4
827,419319.44,5851582.01,Copper beech,11.4,15.5,0.01,0.072,4
828,419321.07,5851580.05,Copper beech,13.2,16.9,0.014,0.11,4
829,419323.49,5851584.45,Common pine,40.1,29.6,0.126,1.69,4
830,419323.71,5851586.29,Copper beech,17,19,0.023,0.197,4
831,419324.16,5851586.7,Copper beech,9,13.2,0.006,0.03,4
832,419326.24,5851586.43,Common pine,50,30.2,0.196,2.672,4
833,419326.58,5851583.65,Copper beech,15.2,18.1,0.018,0.153,4
834,419327.76,5851582.67,Copper beech,12.9,16.7,0.013,0.099,4
835,419328.69,5851582.83,Copper beech,12.4,16.3,0.012,0.09,4
836,419331.35,5851500.84,Copper beech,10.5,14.7,0.009,0.057,4
837,419331.21,5851588.26,Common pine,39.3,29.5,0.121,1.613,4
838,419333,5851585.12,Copper beech,15.2,18.1,0.018,0.153,4
839,419333.16,5851584.23,Copper beech,8.9,13.1,0.006,0.025,4
840,419335.22,5851590.15,Copper beech,14.7,17.8,0.017,0.142,4
841,419335.68,5851588.62,Common pine,39.4,29.5,0.122,1.62,4
842,419337.1,5851588.5,Copper beech,19.4,20,0.03,0.285,4
843,419337.89,5851587.97,Common pine,37.7,29.4,0.112,1.465,4
844,419337.02,5851591.06,Copper beech,13.2,16.9,0.014,0.11,4
845,419337.8,5851592.05,Common pine,34.9,29.1,0.096,1.234,4
846,419341.91,5851590.96,Common pine,35.3,29.2,0.098,1.276,4
847,419343.89,5851593.53,Copper beech,22.5,21,0.04,0.396,4
848,419345.06,5851589.59,Copper beech,13,16.7,0.013,0.1,4
849,419346.5,5851588.66,Copper beech,10.3,14.6,0.008,0.054,4
850,419346.9,5851591.83,Copper beech,15.9,18.5,0.02,0.17,4
851,419348.53,5851593.06,Common pine,43,29.8,0.145,1.934,4
852,419351.47,5851584.79,Copper beech,9,13.2,0.006,0.03,4
853,419349.59,5851585.32,Common spruce,21.3,20.4,0.036,0.378,4
854,419349.95,5851582.46,Copper beech,15.5,18.2,0.019,0.161,4
855,419347.48,5851587.3,Common pine,36.7,29.3,0.106,1.382,4
856,419348.7,5851587.02,Copper beech,10,14.3,0.008,0.047,4
857,419345.77,5851585.67,Copper beech,12.3,16.2,0.012,0.088,4
858,419345.74,5851582.78,Copper beech,8.7,12.9,0.006,0.027,4
859,419343.98,5851585.2,Copper beech,15,18,0.018,0.144,4
860,419342.13,5851581.8,Copper beech,16.7,18.9,0.022,0.196,4
861,419340.33,5851584.83,Common pine,38,29.4,0.113,1.487,4
862,419340.38,5851580.58,Common pine,48.3,30.1,0.183,2.488,4
863,419338.29,5851580.41,Common spruce,22.4,21,0.039,0.421,4
864,419337.33,5851580.07,Copper beech,18.3,19.6,0.026,0.246,4
865,419332.74,5851581.53,Copper beech,9.8,14.1,0.008,0.04,4
866,419332.61,5851580.61,Common pine,46.7,30,0.171,2.312,4
867,419331.25,5851577.96,Copper beech,16.8,18.9,0.022,0.198,4
868,419327.25,5851577.61,Common pine,43.2,29.8,0.147,1.986,4
869,419326.53,5851576.06,Copper beech,9,13.2,0.006,0.03,4
870,419323.27,5851500.77,Copper beech,16.3,18.7,0.021,0.186,4
